Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5CDG6PmpbnHK77nx4m6YA2,"WOAH","WOAH","NAV;Young Thug",2026-09-11,145454,67,true,,2026-09-11T05:23:13Z,"rap melódico,rap,trap","XO / Republic Records",0.88,0.674,8,-4.056,0,0.317,0.0472,0,0.159,0.193,131.928,4
spotify:track:3lsOd2UXiKRZalwRVqvQsD,"I See Why","I See Why","Moneybagg Yo",2026-07-24,183070,74,true,,2026-09-11T04:02:12Z,"","CMG/N-Less/Interscope Records",0.81,0.774,6,-4.228,1,0.158,0.0904,0,0.145,0.696,129.996,4
spotify:track:7rPM3CAKNy9Pf09k1Fnqhm,"Spend Dat (feat. Lil Baby & Kodak Black) - Remix","Spend Dat (Remix)","Yung Miami;Lil Baby;Kodak Black",2026-08-28,194666,68,true,,2026-09-11T04:02:12Z,"","Yung Miami LLC",0.851,0.398,1,-4.838,1,0.278,0.086,0,0.125,0.266,89.997,4
spotify:track:7KGHenqXZofXNm5MKDbT3J,"Whisper My Name","ICEMAN","Drake",2026-05-15,222580,86,true,,2026-09-11T04:02:12Z,"rap","OVO/Republic",0.882,0.572,11,-6.24,0,0.134,0.0655,0,0.136,0.473,124.036,4
spotify:track:2lpygKqzPFtItQ4ss3cgfb,"Cinderella (feat. Ty Dolla $ign)","The Divine Feminine","Mac Miller;Ty Dolla $ign",2016-09-16,480186,95,true,,2026-09-11T04:02:12Z,"trap soul","Warner Records",0.545,0.534,8,-6.874,0,0.047,0.235,0,0.345,0.24,140.021,4
spotify:track:2h2mqn6TJCwU1aF1KhyYxB,"Plays of the Week","Chicken Talkin Bastard","BossMan Dlow",2026-04-10,169666,68,true,,2026-09-11T04:02:12Z,"","Alamo",0.775,0.485,8,-6.986,1,0.129,0.0138,0,0.103,0.0711,160.007,4
spotify:track:3XXytWautscZk8JZNhxQ5a,"Rain","Rain","Tee Grizzley;Skilla Baby;Ashanti",2026-09-11,180784,59,true,,2026-09-11T04:02:12Z,"r&b","300 Entertainment",0.744,0.664,1,-6.603,1,0.173,0.0382,0,0.326,0.592,155.902,3
spotify:track:3B4cjvGlPvyBLNG3AzEgkZ,"E85","OCTANE","Don Toliver",2026-01-30,153181,91,true,,2026-09-11T04:02:12Z,"","CactusJack/Donnway/ATL",0.556,0.714,11,-4.43,0,0.0418,0.0463,0,0.822,0.332,131.992,4
spotify:track:02FWtiqTvM6eYZPd9NEmsM,"Reap What You Sow","All Eyes on Shiest","Pooh Shiesty",2026-08-07,217653,72,true,,2026-09-11T04:02:12Z,"","1017/Atlantic",0.817,0.688,11,-4.811,0,0.467,0.0726,0,0.297,0.565,141.846,4
spotify:track:5UNo2nitxVTkBA9QYmnHJx,"OK (feat. Don Toliver)","BULLY - DELUXE","Kanye West;Ye;Don Toliver",2026-06-19,158193,83,true,,2026-09-11T04:02:12Z,"rap","YZY/gamma.",0.768,0.637,7,-2.552,0,0.0393,0.631,0,0.183,0.66,125.037,4
spotify:track:1hjDhXme9NEFlMjVwV8dd8,"TOKYO DRIFT","LOCKED IN","Nemzzz",2026-09-04,107757,66,true,,2026-09-11T04:02:12Z,"drill reino unido,drill","Atlantic Records UK",0.883,0.701,8,-8.009,0,0.233,0.118,0.211,0.566,0.328,136.082,4
spotify:track:393OFJFZKIIv66JmJcNm9D,"National Treasures","ICEMAN","Drake",2026-05-15,200830,89,true,,2026-09-11T04:02:12Z,"rap","OVO/Republic",0.4,0.707,11,-5.72,1,0.271,0.131,0.00000537,0.415,0.314,193.433,3
spotify:track:6svevQditWxJzW2WUfqe2p,"Money Over Everything","The Real Me","Future",2026-08-06,134413,73,true,,2026-09-11T04:02:12Z,"rap,trap","Epic",0.87,0.638,2,-5.612,1,0.116,0.0414,0,0.131,0.165,124.989,4
spotify:track:287y8enXKYqxjJs5LzVQVZ,"MANE","MANE","GloRilla;Pooh Shiesty",2026-06-25,197260,67,true,,2026-09-11T04:02:12Z,"","Hitmaker Distro",0.808,0.749,11,-5.481,1,0.268,0.0682,0,0.436,0.584,146.042,4
spotify:track:6g8cuDwreIt5rLEBlkukQa,"Ghetto Love Story","Rise Against My Broken Odds","BabyChiefDoit",2026-06-12,178285,84,true,,2026-09-11T04:02:12Z,"drill de chicago","Artist Partner Group",0.826,0.79,8,-5.405,0,0.313,0.0424,0,0.0919,0.462,140.051,4
spotify:track:6OIePwtV1rtmthxPuKdkpk,"Grind Time (Feat. Rylo Rodriguez)","Il Caos Parte 1","Lil Baby;Victor Victor Presents;Rylo Rodriguez",2026-08-06,186791,66,true,,2026-09-11T04:02:12Z,"","Victor Victor Worldwide",0.672,0.638,0,-6.507,1,0.238,0.0181,0,0.263,0.164,82.857,4
spotify:track:5ozQ7ysuXTpJwbqx7GvoRY,"Around Me","Champion Story","Noodah05",2026-08-14,153835,82,true,,2026-09-11T04:02:12Z,"","2026",0.68,0.733,1,-7.069,1,0.14,0.0453,0,0.108,0.342,128.062,4
spotify:track:0EdUsCmzimUe6JcKBDPKfG,"Calling From Rio","ML2","YoungBoy Never Broke Again",2026-06-26,208695,66,true,,2026-09-11T04:02:12Z,"","Never Broke Again, LLC/Motown Records",0.693,0.848,4,-4.555,0,0.326,0.198,0,0.0966,0.722,160.868,4
spotify:track:0EfkB8iQhNxfXCjrKVdms5,"ON NOTHING","ON NOTHING","Yeat",2026-09-04,123087,77,true,,2026-09-11T04:02:12Z,"rage rap","Lyfestyle Corporation/Field Trip Recordings/Capitol Records",0.635,0.466,10,-7.059,0,0.0757,0.0378,0.00000151,0.131,0.391,156.125,4
spotify:track:0aHM1klz6sGAmpjRPXkjMq,"Say What (feat. PARTYNEXTDOOR)","NDA","Trippie Redd;PARTYNEXTDOOR",2026-08-14,256179,79,true,,2026-09-11T04:02:12Z,"rap melódico,dark r&b,r&b,trap soul","1400 Entertainment/10K Projects/Atlantic Recording",0.614,0.43,6,-11.523,0,0.265,0.1,0.0000977,0.102,0.131,88.791,4
spotify:track:1aQZOezVcyTJ0niV0l3hTU,"Eaters","Slime Language 3","Young Stoner Life;Young Thug;Tezzus;Travis Scott;Future;Yeat",2026-08-28,223013,68,true,,2026-09-11T04:02:12Z,"rap,rap melódico,trap,rage rap,hip hop underground","Young Stoner Life Records",0.646,0.523,10,-6.997,0,0.0383,0.00775,0.00000407,0.268,0.0774,148.053,4
